,apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time,time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,irradiance_global_horizontal,irradiance_direct_normal 
3666,82.02592806338836,82.13507182443672,7.974071936611642,7.864928175563281,295.9730010404343,1.9754009351891,2023-06-02 18:00,2023-06-02 19:00,0.153,0.099,0.066,13.618,0.165,0.7136423001445529
3667,89.62039685677429,90.11137613213829,0.379603143225713,-0.11137613213828909,307.3651476216111,1.9687451208083075,2023-06-02 19:00,2023-06-02 20:00,0.026,0.011,0.028,12.1,0.039,
3668,96.91979640988733,96.91979640988733,-6.919796409887332,-6.919796409887332,319.48757144568117,1.962078698707046,2023-06-02 20:00,2023-06-02 21:00,0.0,0.0,0.0,10.603,0.0,-0.0
3669,102.16287770288099,102.16287770288099,-12.162877702880992,-12.162877702880992,332.521570959798,1.9554016846450395,2023-06-02 21:00,2023-06-02 22:00,0.0,0.0,0.0,9.963,0.0,-0.0
3670,105.45199729567068,105.45199729567068,-15.451997295670685,-15.451997295670685,346.4075740800571,1.9487140943601844,2023-06-02 22:00,2023-06-02 23:00,0.0,0.0,0.0,9.506,0.0,-0.0
3671,106.49306486956782,106.49306486956782,-16.493064869567814,-16.493064869567814,0.802787625328051,1.9420159439832787,2023-06-02 23:00,2023-06-03 00:00,0.0,0.0,0.0,9.234,0.0,-0.0
3672,105.18312346224867,105.18312346224867,-15.183123462248671,-15.183123462248671,15.164146337345414,1.9353072491794592,2023-06-03 00:00,2023-06-03 01:00,0.0,0.0,0.0,9.248,0.0,-0.0
3673,101.65069720242461,101.65069720242461,-11.650697202424604,-11.650697202424604,28.962321208495325,1.9285880258103134,2023-06-03 01:00,2023-06-03 02:00,0.0,0.0,0.0,9.341,0.0,-0.0
3674,96.20587497487298,96.20587497487298,-6.2058749748729785,-6.2058749748729785,41.88575392000598,1.9218582898611203,2023-06-03 02:00,2023-06-03 03:00,0.0,0.0,0.0,9.352,0.0,-0.0
3675,88.85719433026529,89.24172137416623,1.142805669734712,0.7582786258337723,53.90590261023192,1.9151180571716395,2023-06-03 03:00,2023-06-03 04:00,0.0,0.0,0.0,9.229,0.0,0.0
3676,81.05302762465658,81.15291041256748,8.946972375343423,8.847089587432519,65.22637944475821,1.908367343552527,2023-06-03 04:00,2023-06-03 05:00,0.023,0.007,0.028,9.435,0.035,0.045010205277801814
3677,72.24964560502502,72.30094952885159,17.75035439497497,17.69905047114841,76.21476741814257,1.9016061650254414,2023-06-03 05:00,2023-06-03 06:00,0.138,0.07,0.078,10.245,0.14800000000000002,0.22960591855685117
3678,62.988768469622194,63.02116304981401,27.011231530377806,26.978836950185997,87.3838901651252,1.8948345374737983,2023-06-03 06:00,2023-06-03 07:00,0.31,0.234,0.084,11.921,0.318,0.5152310755313446
